Year,Season,Date,Time,At,Opponent,Location
2010,  Basketball,11/02/2010,7:00 PM,Home,Northeastern State,Williams Arena
2010,  Basketball,11/08/2010,7:00 PM,Home,Winona State,Williams Arena
2010,  Basketball,11/12/2010,7:00 PM,Home,Wofford,Williams Arena
2010,  Basketball,11/15/2010,8:00 PM,Home,Siena,Williams Arena
2010,  Basketball,11/24/2010,7:00 PM,Home,North Dakota State,Williams Arena
2010,  Basketball,11/29/2010,6:00 PM,Home,Virginia,Williams Arena
2010,  Basketball,12/04/2010,7:00 PM,Home,Cornell,Williams Arena
2010,  Basketball,12/11/2010,12:00 PM,Home,Eastern Kentucky,Williams Arena
2010,  Basketball,12/15/2010,7:30 PM,Home,Akron,Williams Arena
2010,  Basketball,12/23/2010,7:00 PM,Home,South Dakota St.,Williams Arena
2011,  Basketball,01/04/2011,6:00 PM,Home,Indiana,Williams Arena
2011,  Basketball,01/13/2011,6:00 PM,Home,Purdue,Williams Arena
2011,  Basketball,01/16/2011,5:00 PM,Home,Iowa,Williams Arena
2011,  Basketball,01/26/2011,7:30 PM,Home,Northwestern,Williams Arena
2011,  Basketball,02/06/2011,1:00 PM,Home,Ohio State,Williams Arena
2011,  Basketball,02/10/2011,8:00 PM,Home,Illinois,Williams Arena
2011,  Basketball,02/22/2011,8:00 PM,Home,Michigan State,Williams Arena
2011,  Basketball,02/26/2011,3:30 PM,Home,Michigan,Williams Arena
2011,  Basketball,03/06/2011,12:00 PM,Home,Penn State,Williams Arena
2011,  Basketball,11/01/2011,7:00 PM,Home,Bemidji St,Williams Arena
2011,  Basketball,11/07/2011,7:00 PM,Home,Augustana (S.D.),Williams Arena
2011,  Basketball,11/11/2011,7:00 PM,Home,Bucknell,Williams Arena
2011,  Basketball,11/14/2011,7:00 PM,Home,South Dakota St.,Williams Arena
2011,  Basketball,11/17/2011,6:00 PM,Home,Fairfield,Williams Arena
2011,  Basketball,11/21/2011,7:00 PM,Home,Mount St. Mary's,Williams Arena
2011,  Basketball,11/30/2011,8:15 PM,Home,Virginia Tech,Williams Arena
2011,  Basketball,12/03/2011,1:15 PM,Home,USC,Williams Arena
2011,  Basketball,12/06/2011,7:00 PM,Home,Appalachian State,Williams Arena
2011,  Basketball,12/10/2011,12:00 PM,Home,St. Peter's,Williams Arena
2011,  Basketball,12/13/2011,8:00 PM,Home,Central Michigan,Williams Arena
2011,  Basketball,12/22/2011,7:00 PM,Home,North Dakota State,Williams Arena
2012,  Basketball,01/04/2012,8:00 PM,Home,Iowa,Williams Arena
2012,  Basketball,01/08/2012,5:00 PM,Home,Purdue,Williams Arena
2012,  Basketball,01/22/2012,3:00 PM,Home,Northwestern,Williams Arena
2012,  Basketball,01/28/2012,7:00 PM,Home,Illinois,Williams Arena
2012,  Basketball,02/09/2012,6:00 PM,Home,Wisconsin,Williams Arena
2012,  Basketball,02/14/2012,8:00 PM,Home,Ohio State,Williams Arena
2012,  Basketball,02/22/2012,7:30 PM,Home,Michigan State,Williams Arena
2012,  Basketball,02/26/2012,12:00 PM,Home,Indiana,Williams Arena
2012,  Basketball,03/03/2012,11:30 AM,Home,Nebraska,Williams Arena
2012,  Basketball,11/01/2012,7:00 PM,Home,"Minnesota State, Mankato",Williams Arena
2012,  Basketball,11/05/2012,7:00 PM,Home,Southwest Baptist,Williams Arena
2012,  Basketball,11/09/2012,7:00 PM,Home,American,Williams Arena
2012,  Basketball,11/12/2012,7:00 PM,Home,Toledo,Williams Arena
2012,  Basketball,11/15/2012,7:00 PM,Home,Tennessee State,Williams Arena
2012,  Basketball,11/18/2012,6:00 PM,Home,Richmond,Williams Arena
2012,  Basketball,12/01/2012,1:00 PM,Home,North Florida,Williams Arena
2012,  Basketball,12/04/2012,7:00 PM,Home,South Dakota St.,Williams Arena
2012,  Basketball,12/11/2012,8:00 PM,Home,North Dakota State,Williams Arena
2012,  Basketball,12/22/2012,6:00 PM,Home,Lafayette,Williams Arena
2012,  Basketball,12/31/2012,1:00 PM,Home,Michigan State,Williams Arena
2013,  Basketball,01/06/2013,6:00 PM,Home,Northwestern,Williams Arena
2013,  Basketball,01/17/2013,6:00 PM,Home,Michigan,Williams Arena
2013,  Basketball,01/29/2013,8:00 PM,Home,Nebraska,Williams Arena
2013,  Basketball,02/03/2013,12:00 PM,Home,Iowa,Williams Arena
2013,  Basketball,02/10/2013,5:00 PM,Home,Illinois,Williams Arena
2013,  Basketball,02/14/2013,6:00 PM,Home,Wisconsin,Williams Arena
2013,  Basketball,02/26/2013,6:00 PM,Home,Indiana,Williams Arena
2013,  Basketball,03/02/2013,2:00 PM,Home,Penn State,Williams Arena
2013,  Basketball,11/01/2013,7:00 PM,Home,Cardinal-Stritch,Williams Arena
2013,  Basketball,11/04/2013,7:00 PM,Home,Concordia-St. Paul,Williams Arena
2013,  Basketball,11/08/2013,7:00 PM,Home,Lehigh,Williams Arena
2013,  Basketball,11/12/2013,7:00 PM,Home,Montana,Williams Arena
2013,  Basketball,11/19/2013,7:00 PM,Home,Coastal Carolina,Williams Arena
2013,  Basketball,11/21/2013,6:00 PM,Home,Wofford,Williams Arena
2013,  Basketball,12/03/2013,8:30 PM,Home,Florida State,Williams Arena
2013,  Basketball,12/07/2013,2:00 PM,Home,New Orleans,Williams Arena
2013,  Basketball,12/10/2013,7:00 PM,Home,South Dakota St.,Williams Arena
2013,  Basketball,12/20/2013,8:00 PM,Home,Nebraska-Omaha,Williams Arena
2013,  Basketball,12/28/2013,7:30 PM,Home,Texas A&M Corpus Christi,Williams Arena
2014,  Basketball,01/02/2014,6:00 PM,Home,Michigan,Williams Arena
2014,  Basketball,01/05/2014,1:30 PM,Home,Purdue,Williams Arena
2014,  Basketball,01/16/2014,8:00 PM,Home,Ohio State,Williams Arena
2014,  Basketball,01/22/2014,8:00 PM,Home,Wisconsin,Williams Arena
2014,  Basketball,02/01/2014,1:00 PM,Home,Northwestern,Williams Arena
2014,  Basketball,02/08/2014,7:15 PM,Home,Indiana,Williams Arena
2014,  Basketball,02/19/2014,8:00 PM,Home,Illinois,Williams Arena
2014,  Basketball,02/25/2014,6:00 PM,Home,Iowa,Williams Arena
2014,  Basketball,03/09/2014,4:15 PM,Home,Penn State,Williams Arena
2014,  Basketball,03/18/2014,7:15 PM,Home,High Point,Williams Arena
2014,  Basketball,03/23/2014,2:00 PM,Home,Saint Mary's,Williams Arena
2014,  Basketball,03/25/2014,8:00 PM,Home,Southern Miss,Williams Arena
2014,  Basketball,11/06/2014,7:00 PM,Home,Minnesota Duluth,Williams Arena
2014,  Basketball,11/18/2014,7:00 PM,Home,Western Kentucky,Williams Arena
2014,  Basketball,11/20/2014,7:00 PM,Home,Franklin Pierce,Williams Arena
2014,  Basketball,11/22/2014,7:30 PM,Home,UMBC,Williams Arena
2014,  Basketball,11/26/2014,6:00 PM,Home,St. John's,"New York, N.Y."
2014,  Basketball,12/05/2014,6:00 PM,Home,Western Carolina,Williams Arena
2014,  Basketball,12/08/2014,8:00 PM,Home,North Dakota,Williams Arena
2014,  Basketball,12/10/2014,7:00 PM,Home,Southern,Williams Arena
2014,  Basketball,12/19/2014,7:00 PM,Home,Seattle University,Williams Arena
2014,  Basketball,12/22/2014,7:00 PM,Home,Furman,Williams Arena
2014,  Basketball,12/27/2014,12:00 PM,Home,UNC Wilmington,Williams Arena
2015,  Basketball,01/06/2015,8:00 PM,Home,Ohio State,Williams Arena
2015,  Basketball,01/13/2015,8:00 PM,Home,Iowa,Williams Arena
2015,  Basketball,01/17/2015,11:00 AM,Home,Rutgers,Williams Arena
2015,  Basketball,01/24/2015,1:15 PM,Home,Illinois,Williams Arena
2015,  Basketball,01/31/2015,5:00 PM,Home,Nebraska,Williams Arena
2015,  Basketball,02/07/2015,2:00 PM,Home,Purdue,Williams Arena
2015,  Basketball,02/18/2015,8:00 PM,Home,Northwestern,Williams Arena
2015,  Basketball,03/05/2015,6:00 PM,Home,Wisconsin,Williams Arena
2015,  Basketball,03/08/2015,12:00 PM,Home,Penn State,Williams Arena
2015,  Basketball,11/01/2015,4:00 PM,Home,UM Crookston,Williams Arena
2015,  Basketball,11/06/2015,7:00 PM,Home,Southwest Minnesota State,Williams Arena
2015,  Basketball,11/13/2015,8:00 PM,Home,UMKC,Williams Arena
2015,  Basketball,11/15/2015,2:00 PM,Home,Louisiana-Monroe,Williams Arena
2015,  Basketball,11/27/2015,2:00 PM,Home,Nebraska-Omaha,Williams Arena
2015,  Basketball,11/30/2015,8:00 PM,Home,Clemson,Williams Arena
2015,  Basketball,12/05/2015,2:00 PM,Home,South Dakota,Williams Arena
2015,  Basketball,12/08/2015,7:00 PM,Home,South Dakota St.,Williams Arena
2015,  Basketball,12/16/2015,7:00 PM,Home,Chicago State,Williams Arena
2015,  Basketball,12/23/2015,7:00 PM,Home,Milwaukee,Williams Arena
2016,  Basketball,01/02/2016,2:00 PM,Home,Michigan State,Williams Arena
2016,  Basketball,01/09/2016,1:30 PM,Home,Northwestern,Williams Arena
2016,  Basketball,01/16/2016,11:30 AM,Home,Indiana,Williams Arena
2016,  Basketball,01/23/2016,7:30 PM,Home,Illinois,Williams Arena
2016,  Basketball,01/27/2016,8:00 PM,Home,Purdue,Williams Arena
2016,  Basketball,02/10/2016,8:00 PM,Home,Michigan,Williams Arena
2016,  Basketball,02/18/2016,7:00 PM,Home,Maryland,Williams Arena
2016,  Basketball,02/23/2016,7:30 PM,Home,Rutgers,Williams Arena
2016,  Basketball,03/02/2016,8:00 PM,Home,Wisconsin,Williams Arena
2016,  Basketball,11/03/2016,7:00 PM,Home,Bemidji St,Williams Arena
2016,  Basketball,11/11/2016,7:00 PM,Home,UL-Lafayette,Williams Arena
2016,  Basketball,11/14/2016,7:00 PM,Home,UT Arlington,Williams Arena
2016,  Basketball,11/16/2016,7:00 PM,Home,Mount St. Mary's,Williams Arena
2016,  Basketball,11/18/2016,8:00 PM,Home,St. John's,Williams Arena
2016,  Basketball,11/22/2016,7:00 PM,Home,Arkansas,Williams Arena
2016,  Basketball,11/25/2016,7:00 PM,Home,Southern Illinois,Williams Arena
2016,  Basketball,12/06/2016,7:00 PM,Home,NJIT,Williams Arena
2016,  Basketball,12/09/2016,8:00 PM,Home,Georgia Southern,Williams Arena
2016,  Basketball,12/11/2016,4:00 PM,Home,Northern Illinois,Williams Arena
2016,  Basketball,12/14/2016,7:00 PM,Home,LIU Brooklyn,Williams Arena
2016,  Basketball,12/23/2016,6:00 PM,Home,Arkansas State,Williams Arena
2016,  Basketball,12/27/2016,8:00 PM,Home,Michigan State,Williams Arena
2017,  Basketball,01/08/2017,6:30 PM,Home,Ohio State,Williams Arena
2017,  Basketball,01/21/2017,3:30 PM,Home,Wisconsin,Williams Arena
2017,  Basketball,01/28/2017,1:15 PM,Home,Maryland,Williams Arena
2017,  Basketball,02/08/2017,8:00 PM,Home,Iowa,Williams Arena
2017,  Basketball,02/15/2017,8:00 PM,Home,Indiana,Williams Arena
2017,  Basketball,02/19/2017,6:00 PM,Home,Michigan,Williams Arena
2017,  Basketball,02/25/2017,2:00 PM,Home,Penn State,Williams Arena
2017,  Basketball,03/02/2017,6:00 PM,Home,Nebraska,Williams Arena
2017,  Basketball,11/02/2017,7:00 PM,Home,Concordia-St. Paul (Exhibition),Williams Arena
2017,  Basketball,11/05/2017,12:00 PM,Home,Green Bay (Exhibition),Maturi Pavilion
2017,  Basketball,11/10/2017,7:00 PM,Home,USC Upstate,Williams Arena
2017,  Basketball,11/15/2017,7:00 PM,Home,Niagara,Williams Arena
2017,  Basketball,11/19/2017,3:30 PM,Home,Western Carolina,Williams Arena
2017,  Basketball,11/21/2017,7:00 PM,Home,Alabama A&M,Williams Arena
2017,  Basketball,11/29/2017,8:15 PM,Home,Miami,Williams Arena
2017,  Basketball,12/03/2017,5:00 PM,Home,Rutgers,Williams Arena
2017,  Basketball,12/11/2017,7:00 PM,Home,Drake University,Williams Arena
2017,  Basketball,12/21/2017,7:00 PM,Home,Oral Roberts,Williams Arena
2017,  Basketball,12/23/2017,2:30 PM,Home,Florida Atlantic,Williams Arena
2017,  Basketball,12/30/2017,1:00 PM,Home,Harvard,Williams Arena
2018,  Basketball,01/03/2018,8:00 PM,Home,Illinois,Williams Arena
2018,  Basketball,01/06/2018,4:15 PM,Home,Indiana,Williams Arena
2018,  Basketball,01/13/2018,11:00 AM,Home,Purdue,Williams Arena
2018,  Basketball,01/23/2018,8:00 PM,Home,Northwestern,Williams Arena
2018,  Basketball,02/06/2018,8:00 PM,Home,Nebraska,Williams Arena
2018,  Basketball,02/13/2018,8:00 PM,Home,Michigan State,Williams Arena
2018,  Basketball,02/21/2018,8:00 PM,Home,Iowa,Williams Arena
2011, Football,09/10/2011,2:30 PM,Home,New Mexico State,Huntington Bank Stadium
2011, Football,09/17/2011,2:30 PM,Home,Miami (Oh),Huntington Bank Stadium
2011, Football,09/24/2011,6:00 PM,Home,North Dakota State,Huntington Bank Stadium
2011, Football,10/22/2011,2:30 PM,Home,Nebraska,Huntington Bank Stadium
2011, Football,10/29/2011,2:30 PM,Home,Iowa,Huntington Bank Stadium
2011, Football,11/12/2011,2:30 PM,Home,Wisconsin,Huntington Bank Stadium
2011, Football,11/26/2011,2:30 PM,Home,Illinois,Huntington Bank Stadium
2012, Football,09/08/2012,11:00 AM,Home,New Hampshire,Huntington Bank Stadium
2012, Football,09/15/2012,11:00 AM,Home,Western Michigan,Huntington Bank Stadium
2012, Football,09/22/2012,7:00 PM,Home,Syracuse,Huntington Bank Stadium
2012, Football,10/13/2012,11:00 AM,Home,Northwestern,Huntington Bank Stadium
2012, Football,10/27/2012,2:30 PM,Home,Purdue,Huntington Bank Stadium
2012, Football,11/03/2012,11:00 AM,Home,Michigan,Huntington Bank Stadium
2012, Football,11/24/2012,2:30 PM,Home,Michigan State,Huntington Bank Stadium
2013, Football,08/29/2013,6:00 PM,Home,UNLV,Huntington Bank Stadium
2013, Football,09/14/2013,11:00 AM,Home,Western Illinois,Huntington Bank Stadium
2013, Football,09/21/2013,11:00 AM,Home,San Jose State,Huntington Bank Stadium
2013, Football,09/28/2013,2:30 PM,Home,Iowa (Homecoming),Huntington Bank Stadium
