Year,Season,Date,Time,At,Opponent,Location,Score
2007,2007-08 Men's Basketball,11/10/2007,TBD,Home,Army,Williams Arena,W 84-52
2007,2007-08 Men's Basketball,11/24/2007,TBD,Home,Central Michigan,Williams Arena,W 77-59
2007,2007-08 Men's Basketball,12/01/2007,TBD,Home,UC Riverside,Williams Arena,W 75-38
2007,2007-08 Men's Basketball,12/03/2007,TBD,Home,NDSU,Williams Arena,W 88-56
2007,2007-08 Men's Basketball,12/08/2007,TBD,Home,Colorado State,Williams Arena,W 91-74
2007,2007-08 Men's Basketball,12/12/2007,TBD,Home,South Dakota State,Williams Arena,W 78-72
2007,2007-08 Men's Basketball,12/22/2007,TBD,Home,Santa Clara,Williams Arena,W 68-50
2008,2007-08 Men's Basketball,01/09/2008,TBD,Home,Northwestern,Williams Arena,W 82-63
2008,2007-08 Men's Basketball,01/17/2008,TBD,Home,Indiana,Williams Arena,L 60-65
2008,2007-08 Men's Basketball,01/20/2008,TBD,Home,Michigan State,Williams Arena,L 73-78
2008,2007-08 Men's Basketball,02/03/2008,TBD,Home,Wisconsin,Williams Arena,L 47-63
2008,2007-08 Men's Basketball,02/09/2008,TBD,Home,Iowa,Williams Arena,W 63-50
2008,2007-08 Men's Basketball,02/12/2008,TBD,Home,Illinois,Williams Arena,L 60-84
2008,2007-08 Men's Basketball,02/21/2008,TBD,Home,Michigan,Williams Arena,W 69-60
2008,2007-08 Men's Basketball,02/24/2008,TBD,Home,Penn State,Williams Arena,W 75-68
2008,2007-08 Men's Basketball,03/01/2008,TBD,Home,Ohio State,Williams Arena,W 71-57
2008,2007-08 Men's Basketball,03/18/2008,TBD,Home,Maryland,Williams Arena,L 58-68
2010,2010-11 Men's Basketball,11/02/2010,7:00 PM,Home,Northeastern State,Williams Arena,W 109-59
2010,2010-11 Men's Basketball,11/08/2010,7:00 PM,Home,Winona State,Williams Arena,W 78-72
2010,2010-11 Men's Basketball,11/12/2010,7:00 PM,Home,Wofford,Williams Arena,W 69-55
2010,2010-11 Men's Basketball,11/15/2010,8:00 PM,Home,Siena,Williams Arena,W 76-69
2010,2010-11 Men's Basketball,11/24/2010,7:00 PM,Home,North Dakota State,Williams Arena,W 84-65
2010,2010-11 Men's Basketball,11/29/2010,6:00 PM,Home,Virginia,Williams Arena,L 79-87
2010,2010-11 Men's Basketball,12/04/2010,7:00 PM,Home,Cornell,Williams Arena,W 71-66
2010,2010-11 Men's Basketball,12/11/2010,12:00 PM,Home,Eastern Kentucky,Williams Arena,W 71-58
2010,2010-11 Men's Basketball,12/15/2010,7:30 PM,Home,Akron,Williams Arena,W 66-58
2010,2010-11 Men's Basketball,12/23/2010,7:00 PM,Home,South Dakota St.,Williams Arena,W 85-73
2011,2010-11 Men's Basketball,01/04/2011,6:00 PM,Home,Indiana,Williams Arena,W 67-63
2011,2010-11 Men's Basketball,01/13/2011,6:00 PM,Home,Purdue,Williams Arena,W 70-67
2011,2010-11 Men's Basketball,01/16/2011,5:00 PM,Home,Iowa,Williams Arena,W 69-59
2011,2010-11 Men's Basketball,01/26/2011,7:30 PM,Home,Northwestern,Williams Arena,W 81-70
2011,2010-11 Men's Basketball,02/06/2011,1:00 PM,Home,Ohio State,Williams Arena,L 69-82
2011,2010-11 Men's Basketball,02/10/2011,8:00 PM,Home,Illinois,Williams Arena,L 62-71
2011,2010-11 Men's Basketball,02/22/2011,8:00 PM,Home,Michigan State,Williams Arena,L 48-53
2011,2010-11 Men's Basketball,02/26/2011,3:30 PM,Home,Michigan,Williams Arena,L 63-70
2011,2010-11 Men's Basketball,03/06/2011,12:00 PM,Home,Penn State,Williams Arena,L 63-66
2011,2011-12 Men's Basketball,11/01/2011,7:00 PM,Home,Bemidji St,Williams Arena,W 71-58
2011,2011-12 Men's Basketball,11/07/2011,7:00 PM,Home,Augustana (S.D.),Williams Arena,W 72-60
2011,2011-12 Men's Basketball,11/11/2011,7:00 PM,Home,Bucknell,Williams Arena,W 70-58
2011,2011-12 Men's Basketball,11/14/2011,7:00 PM,Home,South Dakota St.,Williams Arena,W 71-55
2011,2011-12 Men's Basketball,11/17/2011,6:00 PM,Home,Fairfield,Williams Arena,W 67-57
2011,2011-12 Men's Basketball,11/21/2011,7:00 PM,Home,Mount St. Mary's,Williams Arena,W 85-56
2011,2011-12 Men's Basketball,11/30/2011,8:15 PM,Home,Virginia Tech,Williams Arena,W 58-55
2011,2011-12 Men's Basketball,12/03/2011,1:15 PM,Home,USC,Williams Arena,W 55-40
2011,2011-12 Men's Basketball,12/06/2011,7:00 PM,Home,Appalachian State,Williams Arena,W 70-56
2011,2011-12 Men's Basketball,12/10/2011,12:00 PM,Home,St. Peter's,Williams Arena,W 69-47
2011,2011-12 Men's Basketball,12/13/2011,8:00 PM,Home,Central Michigan,Williams Arena,W 76-56
2011,2011-12 Men's Basketball,12/22/2011,7:00 PM,Home,North Dakota State,Williams Arena,W 63-59
2012,2011-12 Men's Basketball,01/04/2012,8:00 PM,Home,Iowa,Williams Arena,L 62-64
2012,2011-12 Men's Basketball,01/08/2012,5:00 PM,Home,Purdue,Williams Arena,L 66-79
2012,2011-12 Men's Basketball,01/22/2012,3:00 PM,Home,Northwestern,Williams Arena,W 75-52
2012,2011-12 Men's Basketball,01/28/2012,7:00 PM,Home,Illinois,Williams Arena,W 77-72
2012,2011-12 Men's Basketball,01/29/2012,TBA,Home,Nebraska,Williams Arena
2012,2011-12 Men's Basketball,02/09/2012,6:00 PM,Home,Wisconsin,Williams Arena,L 61-68
2012,2011-12 Men's Basketball,02/14/2012,8:00 PM,Home,Ohio State,Williams Arena,L 68-78
2012,2011-12 Men's Basketball,02/22/2012,7:30 PM,Home,Michigan State,Williams Arena,L 61-66
2012,2011-12 Men's Basketball,02/26/2012,12:00 PM,Home,Indiana,Williams Arena,L 50-69
2012,2011-12 Men's Basketball,03/03/2012,11:30 AM,Home,Nebraska,Williams Arena,W 81-69
2012,2012-13 Men's Basketball,11/01/2012,7:00 PM,Home,"Minnesota State, Mankato",Williams Arena,W 81-56
2012,2012-13 Men's Basketball,11/05/2012,7:00 PM,Home,Southwest Baptist,Williams Arena,W 86-59
2012,2012-13 Men's Basketball,11/09/2012,7:00 PM,Home,American,Williams Arena,W 72-36
2012,2012-13 Men's Basketball,11/12/2012,7:00 PM,Home,Toledo,Williams Arena,W 82-56
2012,2012-13 Men's Basketball,11/15/2012,7:00 PM,Home,Tennessee State,Williams Arena,W 72-43
2012,2012-13 Men's Basketball,11/18/2012,6:00 PM,Home,Richmond,Williams Arena,W 72-57
2012,2012-13 Men's Basketball,12/01/2012,1:00 PM,Home,North Florida,Williams Arena,W 87-59
2012,2012-13 Men's Basketball,12/04/2012,7:00 PM,Home,South Dakota St.,Williams Arena,W 88-64
2012,2012-13 Men's Basketball,12/11/2012,8:00 PM,Home,North Dakota State,Williams Arena,W 70-57
2012,2012-13 Men's Basketball,12/22/2012,6:00 PM,Home,Lafayette,Williams Arena,W 75-50
2012,2012-13 Men's Basketball,12/31/2012,1:00 PM,Home,Michigan State,Williams Arena,W 76-63
2013,2012-13 Men's Basketball,01/06/2013,6:00 PM,Home,Northwestern,Williams Arena,W 69-51
2013,2012-13 Men's Basketball,01/17/2013,6:00 PM,Home,Michigan,Williams Arena,L 75-83
2013,2012-13 Men's Basketball,01/29/2013,8:00 PM,Home,Nebraska,Williams Arena,W 84-65
2013,2012-13 Men's Basketball,02/03/2013,12:00 PM,Home,Iowa,Williams Arena,W 62-59
2013,2012-13 Men's Basketball,02/10/2013,5:00 PM,Home,Illinois,Williams Arena,L 53-57
2013,2012-13 Men's Basketball,02/14/2013,6:00 PM,Home,Wisconsin,Williams Arena,W 58-53
2013,2012-13 Men's Basketball,02/26/2013,6:00 PM,Home,Indiana,Williams Arena,W 77-73
2013,2012-13 Men's Basketball,03/02/2013,2:00 PM,Home,Penn State,Williams Arena,W 73-44
2013,2013-14 Men's Basketball,11/01/2013,7:00 PM,Home,Cardinal-Stritch,Williams Arena,W 79-57
2013,2013-14 Men's Basketball,11/04/2013,7:00 PM,Home,Concordia-St. Paul,Williams Arena,W 101-67
2013,2013-14 Men's Basketball,11/08/2013,7:00 PM,Home,Lehigh,Williams Arena,W 81-62
2013,2013-14 Men's Basketball,11/12/2013,7:00 PM,Home,Montana,Williams Arena,W 84-58
2013,2013-14 Men's Basketball,11/19/2013,7:00 PM,Home,Coastal Carolina,Williams Arena,W 82-72
2013,2013-14 Men's Basketball,11/21/2013,6:00 PM,Home,Wofford,Williams Arena,W 79-57
2013,2013-14 Men's Basketball,12/03/2013,8:30 PM,Home,Florida State,Williams Arena,W 71-61
2013,2013-14 Men's Basketball,12/07/2013,2:00 PM,Home,New Orleans,Williams Arena,W 80-65
2013,2013-14 Men's Basketball,12/10/2013,7:00 PM,Home,South Dakota St.,Williams Arena,W 75-59
2013,2013-14 Men's Basketball,12/20/2013,8:00 PM,Home,Nebraska-Omaha,Williams Arena,W 92-79
2013,2013-14 Men's Basketball,12/28/2013,7:30 PM,Home,Texas A&M Corpus Christi,Williams Arena,W 65-44
2014,2013-14 Men's Basketball,01/02/2014,6:00 PM,Home,Michigan,Williams Arena,L 60-63
2014,2013-14 Men's Basketball,01/05/2014,1:30 PM,Home,Purdue,Williams Arena,W 82-79
2014,2013-14 Men's Basketball,01/16/2014,8:00 PM,Home,Ohio State,Williams Arena,W 63-53
2014,2013-14 Men's Basketball,01/22/2014,8:00 PM,Home,Wisconsin,Williams Arena,W 81-68
2014,2013-14 Men's Basketball,02/01/2014,1:00 PM,Home,Northwestern,Williams Arena,L 54-55
2014,2013-14 Men's Basketball,02/08/2014,7:15 PM,Home,Indiana,Williams Arena,W 66-60
2014,2013-14 Men's Basketball,02/19/2014,8:00 PM,Home,Illinois,Williams Arena,L 49-62
2014,2013-14 Men's Basketball,02/25/2014,6:00 PM,Home,Iowa,Williams Arena,W 95-89
2014,2013-14 Men's Basketball,03/09/2014,4:15 PM,Home,Penn State,Williams Arena,W 81-63
2014,2013-14 Men's Basketball,03/18/2014,7:15 PM,Home,High Point,Williams Arena,W 88-81
2014,2013-14 Men's Basketball,03/23/2014,2:00 PM,Home,Saint Mary's,Williams Arena,W 63-50
2014,2013-14 Men's Basketball,03/25/2014,8:00 PM,Home,Southern Miss,Williams Arena,W 81-73
2014,2014-15 Men's Basketball,11/06/2014,7:00 PM,Home,Minnesota Duluth,Williams Arena,W 95-68
2014,2014-15 Men's Basketball,11/18/2014,7:00 PM,Home,Western Kentucky,Williams Arena,W 76-54
2014,2014-15 Men's Basketball,11/20/2014,7:00 PM,Home,Franklin Pierce,Williams Arena,W 109-57
2014,2014-15 Men's Basketball,11/22/2014,7:30 PM,Home,UMBC,Williams Arena,W 69-51
2014,2014-15 Men's Basketball,11/26/2014,6:00 PM,Home,St. John's,"New York, N.Y.",L 61-70
2014,2014-15 Men's Basketball,12/05/2014,6:00 PM,Home,Western Carolina,Williams Arena,W 84-64
2014,2014-15 Men's Basketball,12/08/2014,8:00 PM,Home,North Dakota,Williams Arena,W 92-56
2014,2014-15 Men's Basketball,12/10/2014,7:00 PM,Home,Southern,Williams Arena,W 85-57
2014,2014-15 Men's Basketball,12/19/2014,7:00 PM,Home,Seattle University,Williams Arena,W 92-57
2014,2014-15 Men's Basketball,12/22/2014,7:00 PM,Home,Furman,Williams Arena,W 86-76
2014,2014-15 Men's Basketball,12/27/2014,12:00 PM,Home,UNC Wilmington,Williams Arena,W 108-82
2015,2014-15 Men's Basketball,01/06/2015,8:00 PM,Home,Ohio State,Williams Arena,L 72-74
2015,2014-15 Men's Basketball,01/13/2015,8:00 PM,Home,Iowa,Williams Arena,L 75-77
2015,2014-15 Men's Basketball,01/17/2015,11:00 AM,Home,Rutgers,Williams Arena,W 89-80
2015,2014-15 Men's Basketball,01/24/2015,1:15 PM,Home,Illinois,Williams Arena,W 79-71
2015,2014-15 Men's Basketball,01/31/2015,5:00 PM,Home,Nebraska,Williams Arena,W 60-42
2015,2014-15 Men's Basketball,02/07/2015,2:00 PM,Home,Purdue,Williams Arena,W 62-58
2015,2014-15 Men's Basketball,02/18/2015,8:00 PM,Home,Northwestern,Williams Arena,L 66-72
2015,2014-15 Men's Basketball,03/05/2015,6:00 PM,Home,Wisconsin,Williams Arena,L 63-76
2015,2014-15 Men's Basketball,03/08/2015,12:00 PM,Home,Penn State,Williams Arena,L 76-79
2015,2015-16 Men's Basketball,11/01/2015,4:00 PM,Home,UM Crookston,Williams Arena,W 74-57
2015,2015-16 Men's Basketball,11/06/2015,7:00 PM,Home,Southwest Minnesota State,Williams Arena,W 81-64
2015,2015-16 Men's Basketball,11/13/2015,8:00 PM,Home,UMKC,Williams Arena,W 76-58
2015,2015-16 Men's Basketball,11/15/2015,2:00 PM,Home,Louisiana-Monroe,Williams Arena,W 67-56
2015,2015-16 Men's Basketball,11/27/2015,2:00 PM,Home,Nebraska-Omaha,Williams Arena,W 93-90
2015,2015-16 Men's Basketball,11/30/2015,8:00 PM,Home,Clemson,Williams Arena,W 89-83
2015,2015-16 Men's Basketball,12/05/2015,2:00 PM,Home,South Dakota,Williams Arena,L 81-85
2015,2015-16 Men's Basketball,12/08/2015,7:00 PM,Home,South Dakota St.,Williams Arena,L 70-84
2015,2015-16 Men's Basketball,12/16/2015,7:00 PM,Home,Chicago State,Williams Arena,W 70-52
2015,2015-16 Men's Basketball,12/23/2015,7:00 PM,Home,Milwaukee,Williams Arena,L 65-74
2016,2015-16 Men's Basketball,01/02/2016,2:00 PM,Home,Michigan State,Williams Arena,L 61-69
2016,2015-16 Men's Basketball,01/09/2016,1:30 PM,Home,Northwestern,Williams Arena,L 52-77
2016,2015-16 Men's Basketball,01/16/2016,11:30 AM,Home,Indiana,Williams Arena,L 63-70
2016,2015-16 Men's Basketball,01/23/2016,7:30 PM,Home,Illinois,Williams Arena,L 71-76
2016,2015-16 Men's Basketball,01/27/2016,8:00 PM,Home,Purdue,Williams Arena,L 64-68
2016,2015-16 Men's Basketball,02/10/2016,8:00 PM,Home,Michigan,Williams Arena,L 74-82
2016,2015-16 Men's Basketball,02/18/2016,7:00 PM,Home,Maryland,Williams Arena,W 68-63
2016,2015-16 Men's Basketball,02/23/2016,7:30 PM,Home,Rutgers,Williams Arena,W 83-61
2016,2015-16 Men's Basketball,03/02/2016,8:00 PM,Home,Wisconsin,Williams Arena,L 49-62
2016,2016-17 Men's Basketball,11/03/2016,7:00 PM,Home,Bemidji St,Williams Arena,W 83-59
2016,2016-17 Men's Basketball,11/11/2016,7:00 PM,Home,UL-Lafayette,Williams Arena,W 86-74
2016,2016-17 Men's Basketball,11/14/2016,7:00 PM,Home,UT Arlington,Williams Arena,W 84-67
2016,2016-17 Men's Basketball,11/16/2016,7:00 PM,Home,Mount St. Mary's,Williams Arena,W 80-56
2016,2016-17 Men's Basketball,11/18/2016,8:00 PM,Home,St. John's,Williams Arena,W 92-86
